GA 10" Labsphere panel
Serial # Serial Number : 99AA03-0319-1952	
Comments : Labsphere cal only - This data is for reference only	


Wavelength	K-factor
1473	0.9910
1474	0.9908
1475	0.9906
1476	0.9906
1477	0.9909
1478	0.9908
1479	0.9909
1480	0.9909
1481	0.9907
1482	0.9908
1483	0.9910
1484	0.9907
1485	0.9909
1486	0.9910
1487	0.9908
1488	0.9911
1489	0.9910
1490	0.9907
1491	0.9910
1492	0.9910
1493	0.9909
1494	0.9909
1495	0.9908
1496	0.9909
1497	0.9910
1498	0.9907
1499	0.9908
1500	0.9909
1501	0.9910
1502	0.9909
1503	0.9907
1504	0.9911
1505	0.9910
1506	0.9908
1507	0.9907
1508	0.9908
1509	0.9908
1510	0.9908
1511	0.9907
1512	0.9907
1513	0.9909
1514	0.9907
1515	0.9907
1516	0.9909
1517	0.9907
1518	0.9906
1519	0.9909
1520	0.9909
1521	0.9908
1522	0.9908
1523	0.9907
1524	0.9908
1525	0.9908
1526	0.9905
1527	0.9908
1528	0.9910
1529	0.9910
1530	0.9908
1531	0.9907
1532	0.9906
1533	0.9906
1534	0.9907
1535	0.9908
1536	0.9909
1537	0.9904
1538	0.9905
1539	0.9907
1540	0.9911
1541	0.9907
1542	0.9903
1543	0.9904
1544	0.9907
1545	0.9908
1546	0.9908
1547	0.9907
1548	0.9907
1549	0.9907
1550	0.9909
1551	0.9908
1552	0.9907
1553	0.9907
1554	0.9906
1555	0.9905
1556	0.9907
1557	0.9907
1558	0.9908
1559	0.9908
1560	0.9908
1561	0.9904
1562	0.9904
1563	0.9905
1564	0.9907
1565	0.9906
1566	0.9907
1567	0.9906
1568	0.9906
1569	0.9908
1570	0.9908
1571	0.9908
1572	0.9910
1573	0.9909
1574	0.9909
1575	0.9908
1576	0.9908
1577	0.9907
1578	0.9908
1579	0.9909
1580	0.9910
1581	0.9908
1582	0.9908
1583	0.9907
1584	0.9908
1585	0.9907
1586	0.9906
1587	0.9906
1588	0.9906
1589	0.9908
1590	0.9908
1591	0.9907
1592	0.9906
1593	0.9905
1594	0.9906
1595	0.9910
1596	0.9907
1597	0.9906
1598	0.9907
1599	0.9906
1600	0.9907
1601	0.9904
1602	0.9906
1603	0.9907
1604	0.9907
1605	0.9907
1606	0.9905
1607	0.9904
1608	0.9904
1609	0.9904
1610	0.9905
1611	0.9904
1612	0.9904
1613	0.9905
1614	0.9904
1615	0.9905
1616	0.9904
1617	0.9904
1618	0.9903
1619	0.9902
1620	0.9901
1621	0.9901
1622	0.9900
1623	0.9900
1624	0.9900
1625	0.9899
1626	0.9901
1627	0.9900
1628	0.9900
1629	0.9899
1630	0.9897
1631	0.9898
1632	0.9899
1633	0.9897
1634	0.9898
1635	0.9899
1636	0.9898
1637	0.9899
1638	0.9897
1639	0.9895
1640	0.9895
1641	0.9896
1642	0.9897
1643	0.9896
1644	0.9895
1645	0.9896
1646	0.9894
1647	0.9893
1648	0.9893
1649	0.9893
1650	0.9892
1651	0.9893
1652	0.9895
1653	0.9895
1654	0.9894
1655	0.9893
1656	0.9893
1657	0.9892
1658	0.9891
1659	0.9890
1660	0.9891
1661	0.9892
1662	0.9890
1663	0.9890
1664	0.9890
1665	0.9889
1666	0.9887
1667	0.9888
1668	0.9889
1669	0.9887
1670	0.9885
1671	0.9886
1672	0.9886
1673	0.9886
1674	0.9885
1675	0.9885
1676	0.9886
1677	0.9885
1678	0.9882
1679	0.9882
1680	0.9884
1681	0.9884
1682	0.9884
1683	0.9883
1684	0.9882
1685	0.9883
1686	0.9882
1687	0.9880
1688	0.9880
1689	0.9880
1690	0.9880
1691	0.9879
1692	0.9880
