Site,Platform,BAND,satmean,satstd,fieldmean,fieldstd,other,other2,other3,other4
DOO,S2B,CA,0.0746,0.000496,0.0617,0.00557,0.666,9.04,1.21,0.805
DOO,S2B,blue,0.0846,0.00164,0.081,0.00663,1.94,8.19,1.04,2.16
DOO,S2B,green,0.123,0.00181,0.122,0.00708,1.47,5.82,1.01,1.68
DOO,S2B,red,0.193,0.00233,0.188,0.0148,1.21,7.86,1.03,1.29
DOO,S2B,RE1,0.219,0.00191,0.208,0.0161,0.872,7.78,1.05,0.835
DOO,S2B,RE2,0.234,0.00209,0.225,0.0171,0.895,7.62,1.04,0.797
DOO,S2B,RE3,0.24,0.00196,0.237,0.0173,0.817,7.27,1.01,0.75
DOO,S2B,nir_1,0.257,0.00271,0.257,0.0171,1.05,6.65,1,0.894
DOO,S2B,nir_2,0.275,0.00209,0.267,0.0169,0.763,6.32,1.03,0.522
DOO,S2B,swir_2,0.414,0.00269,0.401,0.0234,0.649,5.83,1.03,0.578
DOO,S2B,swir_3,0.365,0.00272,0.353,0.0406,0.744,11.5,1.03,0.74
LGR,S2B,CA,0.0818,0.000709,0.0725,0.00856,0.868,11.8,1.13,0.756
LGR,S2B,blue,0.0949,0.00247,0.0958,0.0122,2.61,12.7,0.991,2.16
LGR,S2B,green,0.135,0.00346,0.14,0.0173,2.57,12.4,0.964,1.96
LGR,S2B,red,0.185,0.0053,0.188,0.0236,2.86,12.5,0.983,2.19
LGR,S2B,RE1,0.209,0.00553,0.206,0.0258,2.65,12.6,1.01,2.11
LGR,S2B,RE2,0.221,0.00611,0.222,0.028,2.77,12.6,0.993,2.25
LGR,S2B,RE3,0.224,0.00632,0.231,0.029,2.82,12.5,0.971,2.2
LGR,S2B,nir_1,0.238,0.00787,0.244,0.0303,3.31,12.4,0.977,2.57
LGR,S2B,nir_2,0.248,0.00685,0.25,0.031,2.76,12.4,0.992,2.08
LGR,S2B,swir_2,0.338,0.00559,0.328,0.0363,1.65,11,1.03,1.37
LGR,S2B,swir_3,0.281,0.00455,0.275,0.0317,1.62,11.5,1.02,1.35
LKG,S2B,CA,0.064,0.00516,0.0855,0.0106,8.05,12.4,0.749,6.44
LKG,S2B,blue,0.0771,0.00726,0.0978,0.0122,9.42,12.5,0.789,8.16
LKG,S2B,green,0.0925,0.0085,0.11,0.0138,9.19,12.5,0.839,7.73
LKG,S2B,red,0.113,0.0103,0.125,0.0156,9.09,12.5,0.905,7.83
LKG,S2B,RE1,0.13,0.0115,0.134,0.0161,8.79,12,0.97,7.23
LKG,S2B,RE2,0.14,0.0121,0.143,0.0164,8.63,11.5,0.979,7.44
LKG,S2B,RE3,0.136,0.0111,0.147,0.0164,8.18,11.2,0.924,6.75
LKG,S2B,nir_1,0.15,0.0131,0.157,0.0173,8.73,11,0.953,7.41
LKG,S2B,nir_2,0.153,0.0131,0.163,0.0178,8.55,10.9,0.943,7.24
LKG,S2B,swir_2,0.228,0.0192,0.233,0.0261,8.44,11.2,0.977,7.26
LKG,S2B,swir_3,0.186,0.0189,0.194,0.0266,10.2,13.7,0.957,8.79
LKG,S2B,CA,0.0794,0.00322,0.0748,0.0059,4.05,7.89,1.06,2.91
LKG,S2B,blue,0.0865,0.00426,0.0839,0.00677,4.93,8.08,1.03,4.19
LKG,S2B,green,0.0957,0.00511,0.0936,0.00767,5.34,8.19,1.02,4.5
LKG,S2B,red,0.11,0.00587,0.104,0.00879,5.32,8.41,1.06,4.47
LKG,S2B,RE1,0.123,0.00603,0.111,0.00921,4.9,8.32,1.11,3.88
LKG,S2B,RE2,0.131,0.00713,0.118,0.0113,5.43,9.6,1.11,4.41
LKG,S2B,RE3,0.132,0.00663,0.125,0.0121,5.01,9.66,1.06,3.96
