time,x,y,nbar_coastal_aerosol,nbar_blue,nbar_green,nbar_red,nbar_red_edge_1,nbar_red_edge_2,nbar_red_edge_3,nbar_nir_1,nbar_nir_2,nbar_swir_2,nbar_swir_3
2018-05-22 02:13:51.024,-1593765.0,-3434055.0,1895,2376,4311,5804,6316,6496,6418,6720,6654,7984,6519
2018-05-22 02:13:51.024,-1593765.0,-3434065.0,1895,2336,4274,5752,6316,6496,6418,6598,6654,7984,6519
2018-05-22 02:13:51.024,-1593765.0,-3434075.0,1744,2313,4264,5700,6132,6308,6220,6485,6420,7771,6370
2018-05-22 02:13:51.024,-1593765.0,-3434085.0,1744,2290,4172,5568,6132,6308,6220,6418,6420,7771,6370
2018-05-22 02:13:51.024,-1593765.0,-3434095.0,1744,2279,4118,5544,5886,6106,6024,6290,6256,7502,6141
2018-05-22 02:13:51.024,-1593765.0,-3434105.0,1744,2205,4032,5414,5886,6106,6024,6191,6256,7502,6141
2018-05-22 02:13:51.024,-1593765.0,-3434115.0,1744,2135,3912,5258,5687,5855,5806,5996,5934,7252,5920
2018-05-22 02:13:51.024,-1593765.0,-3434125.0,1744,2120,3859,5129,5687,5855,5806,5889,5934,7252,5920
2018-05-22 02:13:51.024,-1593765.0,-3434135.0,1637,2159,3859,5038,5607,5770,5690,5855,5898,7140,5831
2018-05-22 02:13:51.024,-1593755.0,-3433985.0,1985,2536,4378,5825,6397,6626,6562,6710,6902,8078,6412
2018-05-22 02:13:51.024,-1593755.0,-3433995.0,1985,2598,4391,5786,6397,6626,6562,6751,6902,8078,6412
2018-05-22 02:13:51.024,-1593755.0,-3434005.0,1895,2643,4463,5866,6476,6745,6672,6804,6950,8198,6519
2018-05-22 02:13:51.024,-1593755.0,-3434015.0,1895,2576,4502,5930,6476,6745,6672,6878,6950,8198,6519
2018-05-22 02:13:51.024,-1593755.0,-3434025.0,1895,2534,4517,5955,6532,6819,6654,6875,6992,8274,6636
2018-05-22 02:13:51.024,-1593755.0,-3434035.0,1895,2528,4498,6022,6532,6819,6654,6898,6992,8274,6636
2018-05-22 02:13:51.024,-1593755.0,-3434045.0,1895,2461,4406,5899,6506,6726,6660,6806,6935,8191,6635
2018-05-22 02:13:51.024,-1593755.0,-3434055.0,1895,2453,4369,5843,6506,6726,6660,6734,6935,8191,6635
2018-05-22 02:13:51.024,-1593755.0,-3434065.0,1895,2453,4369,5843,6506,6726,6660,6734,6935,8191,6635
2018-05-22 02:13:51.024,-1593755.0,-3434075.0,1744,2375,4365,5789,6392,6572,6545,6677,6741,8020,6506
2018-05-22 02:13:51.024,-1593755.0,-3434085.0,1744,2376,4270,5695,6392,6572,6545,6582,6741,8020,6506
2018-05-22 02:13:51.024,-1593755.0,-3434095.0,1744,2313,4183,5626,6164,6332,6285,6428,6475,7731,6309
2018-05-22 02:13:51.024,-1593755.0,-3434105.0,1744,2235,4123,5517,6164,6332,6285,6297,6475,7731,6309
2018-05-22 02:13:51.024,-1593755.0,-3434115.0,1744,2202,4020,5404,5910,6071,6013,6134,6193,7423,6091
2018-05-22 02:13:51.024,-1593755.0,-3434125.0,1744,2140,3935,5258,5910,6071,6013,6000,6193,7423,6091
2018-05-22 02:13:51.024,-1593755.0,-3434135.0,1637,2145,3878,5108,5607,5770,5690,5860,5898,7140,5831
2018-05-22 02:13:51.024,-1593745.0,-3433985.0,2091,2625,4457,5896,6319,6556,6533,6843,6845,8034,6255
2018-05-22 02:13:51.024,-1593745.0,-3433995.0,2091,2621,4468,5821,6319,6556,6533,6779,6845,8034,6255
2018-05-22 02:13:51.024,-1593745.0,-3434005.0,2072,2615,4435,5798,6289,6476,6414,6709,6700,7906,6212
2018-05-22 02:13:51.024,-1593745.0,-3434015.0,2072,2583,4443,5806,6289,6476,6414,6651,6700,7906,6212
2018-05-22 02:13:51.024,-1593745.0,-3434025.0,2072,2573,4473,5841,6363,6568,6496,6685,6770,7984,6297
