Wavelength,PIN2018112800489.asd
1845.0,nan
1846.0,nan
1847.0,nan
1848.0,nan
1849.0,nan
1850.0,nan
1851.0,nan
1852.0,nan
1853.0,nan
1854.0,nan
1855.0,nan
1856.0,nan
1857.0,nan
1858.0,nan
1859.0,nan
1860.0,nan
1861.0,nan
1862.0,nan
1863.0,nan
1864.0,nan
1865.0,nan
1866.0,nan
1867.0,nan
1868.0,nan
1869.0,nan
1870.0,nan
1871.0,nan
1872.0,nan
1873.0,nan
1874.0,nan
1875.0,nan
1876.0,nan
1877.0,nan
1878.0,nan
1879.0,nan
1880.0,nan
1881.0,nan
1882.0,nan
1883.0,nan
1884.0,nan
1885.0,nan
1886.0,nan
1887.0,nan
1888.0,nan
1889.0,nan
1890.0,nan
1891.0,nan
1892.0,nan
1893.0,nan
1894.0,nan
1895.0,nan
1896.0,nan
1897.0,nan
1898.0,nan
1899.0,nan
1900.0,nan
1901.0,nan
1902.0,nan
1903.0,nan
1904.0,nan
1905.0,nan
1906.0,nan
1907.0,nan
1908.0,nan
1909.0,nan
1910.0,nan
1911.0,nan
1912.0,nan
1913.0,nan
1914.0,nan
1915.0,nan
1916.0,nan
1917.0,nan
1918.0,nan
1919.0,nan
1920.0,nan
1921.0,nan
1922.0,nan
1923.0,nan
1924.0,nan
1925.0,nan
1926.0,nan
1927.0,nan
1928.0,nan
1929.0,nan
1930.0,nan
1931.0,nan
1932.0,nan
1933.0,nan
1934.0,nan
1935.0,nan
1936.0,nan
1937.0,nan
1938.0,nan
1939.0,nan
1940.0,nan
1941.0,nan
1942.0,nan
1943.0,nan
1944.0,nan
1945.0,nan
1946.0,nan
1947.0,nan
1948.0,nan
1949.0,nan
1950.0,0.4458
1951.0,0.4463
1952.0,0.447
1953.0,0.4476
1954.0,0.4483
1955.0,0.4491
1956.0,0.4499
1957.0,0.4509
1958.0,0.4518
1959.0,0.4528
1960.0,0.4536
1961.0,0.4545
1962.0,0.4553
1963.0,0.4561
1964.0,0.4569
1965.0,0.4576
1966.0,0.4584
1967.0,0.4591
1968.0,0.4598
1969.0,0.4605
1970.0,0.4612
1971.0,0.4619
1972.0,0.4625
1973.0,0.4633
1974.0,0.464
1975.0,0.4647
1976.0,0.4654
1977.0,0.4661
1978.0,0.4668
1979.0,0.4675
1980.0,0.4682
1981.0,0.4689
1982.0,0.4696
1983.0,0.4703
1984.0,0.471
1985.0,0.4717
1986.0,0.4724
1987.0,0.4731
1988.0,0.4738
1989.0,0.4744
1990.0,0.4751
1991.0,0.4758
1992.0,0.4765
1993.0,0.4771
1994.0,0.4777
1995.0,0.4783
1996.0,0.479
1997.0,0.4796
1998.0,0.4803
1999.0,0.4811
2000.0,0.4821
2001.0,0.4832
2002.0,0.4844
2003.0,0.4858
2004.0,0.4874
2005.0,0.4889
2006.0,0.4904
2007.0,0.4918
2008.0,0.493
2009.0,0.4941
2010.0,0.4951
2011.0,0.4962
2012.0,0.4972
2013.0,0.4982
2014.0,0.4992
2015.0,0.5002
2016.0,0.5013
2017.0,0.5023
2018.0,0.5033
2019.0,0.5042
2020.0,0.5051
2021.0,0.5059
2022.0,0.5068
2023.0,0.5076
2024.0,0.5083
2025.0,0.5091
2026.0,0.5098
2027.0,0.5105
2028.0,0.5112
2029.0,0.5119
2030.0,0.5126
2031.0,0.5133
2032.0,0.514
2033.0,0.5146
2034.0,0.5153
2035.0,0.5159
2036.0,0.5166
2037.0,0.5172
2038.0,0.5179
2039.0,0.5185
2040.0,0.5191
2041.0,0.5198
2042.0,0.5203
2043.0,0.5209
2044.0,0.5214
2045.0,0.522
2046.0,0.5225
2047.0,0.5231
2048.0,0.5237
2049.0,0.5242
2050.0,0.5248
2051.0,0.5254
2052.0,0.526
2053.0,0.5266
2054.0,0.5272
2055.0,0.5279
2056.0,0.5285
2057.0,0.5291
2058.0,0.5297
2059.0,0.5302
2060.0,0.5308
2061.0,0.5312
2062.0,0.5318
2063.0,0.5323
2064.0,0.5328
2065.0,0.5333
2066.0,0.5339
2067.0,0.5344
2068.0,0.5349
2069.0,0.5354
2070.0,0.536
2071.0,0.5365
2072.0,0.537
2073.0,0.5375
2074.0,0.538
2075.0,0.5385
2076.0,0.5389
2077.0,0.5394
2078.0,0.5399
2079.0,0.5403
2080.0,0.5408
2081.0,0.5412
2082.0,0.5417
2083.0,0.5421
2084.0,0.5425
2085.0,0.543
2086.0,0.5434
2087.0,0.5438
2088.0,0.5443
2089.0,0.5447
2090.0,0.5451
2091.0,0.5455
2092.0,0.5459
2093.0,0.5463
2094.0,0.5467
2095.0,0.5471
2096.0,0.5475
2097.0,0.5479
2098.0,0.5483
2099.0,0.5487
2100.0,0.5491
2101.0,0.5494
2102.0,0.5498
2103.0,0.5502
2104.0,0.5506
2105.0,0.5509
2106.0,0.5513
2107.0,0.5516
2108.0,0.552
2109.0,0.5524
2110.0,0.5527
2111.0,0.5531
2112.0,0.5535
2113.0,0.5538
2114.0,0.5542
2115.0,0.5546
2116.0,0.555
2117.0,0.5553
2118.0,0.5557
2119.0,0.5561
2120.0,0.5564
2121.0,0.5568
2122.0,0.5571
2123.0,0.5574
2124.0,0.5576
2125.0,0.5579
2126.0,0.5581
2127.0,0.5583
2128.0,0.5584
2129.0,0.5585
2130.0,0.5585
2131.0,0.5585
2132.0,0.5585
2133.0,0.5584
2134.0,0.5584
2135.0,0.5583
2136.0,0.5583
2137.0,0.5581
2138.0,0.5579
2139.0,0.5577
2140.0,0.5574
2141.0,0.5571
2142.0,0.5567
2143.0,0.5563
2144.0,0.5559
2145.0,0.5554
2146.0,0.5549
2147.0,0.5544
2148.0,0.5538
2149.0,0.5532
2150.0,0.5526
2151.0,0.552
2152.0,0.5514
2153.0,0.5508
2154.0,0.5502
2155.0,0.5496
2156.0,0.549
2157.0,0.5484
2158.0,0.5479
2159.0,0.5473
2160.0,0.5468
2161.0,0.5462
2162.0,0.5457
2163.0,0.5452
2164.0,0.5447
2165.0,0.5443
2166.0,0.544
2167.0,0.5437
2168.0,0.5434
2169.0,0.5431
2170.0,0.5429
2171.0,0.5427
2172.0,0.5424
2173.0,0.5422
2174.0,0.542
2175.0,0.5418
2176.0,0.5417
2177.0,0.5415
2178.0,0.5413
2179.0,0.541
2180.0,0.5408
2181.0,0.5406
2182.0,0.5404
2183.0,0.5401
2184.0,0.5399
2185.0,0.5396
2186.0,0.5394
2187.0,0.5391
2188.0,0.5387
2189.0,0.5384
2190.0,0.5381
2191.0,0.5378
2192.0,0.5374
2193.0,0.5369
2194.0,0.5364
2195.0,0.5358
2196.0,0.5351
2197.0,0.5343
2198.0,0.5335
2199.0,0.5325
2200.0,0.5316
2201.0,0.5306
2202.0,0.5297
2203.0,0.5288
2204.0,0.5281
2205.0,0.5276
2206.0,0.5273
2207.0,0.5273
2208.0,0.5275
2209.0,0.5279
2210.0,0.5285
2211.0,0.5294
2212.0,0.5305
2213.0,0.5317
2214.0,0.5329
2215.0,0.5344
2216.0,0.5356
2217.0,0.5368
2218.0,0.5379
2219.0,0.5388
2220.0,0.5395
2221.0,0.5401
2222.0,0.5405
2223.0,0.5408
2224.0,0.5409
2225.0,0.5409
2226.0,0.5408
2227.0,0.5406
2228.0,0.5403
2229.0,0.5399
2230.0,0.5395
2231.0,0.539
2232.0,0.5385
2233.0,0.5379
2234.0,0.5373
2235.0,0.5366
2236.0,0.536
2237.0,0.5353
2238.0,0.5346
2239.0,0.5339
2240.0,0.5331
2241.0,0.5324
2242.0,0.5317
2243.0,0.5309
2244.0,0.5302
2245.0,0.5294
2246.0,0.5287
2247.0,0.5279
2248.0,0.527
2249.0,0.5262
2250.0,0.5253
2251.0,0.5244
2252.0,0.5234
2253.0,0.5225
2254.0,0.5215
2255.0,0.5205
2256.0,0.5194
2257.0,0.5184
2258.0,0.5173
2259.0,0.5162
2260.0,0.5151
2261.0,0.5139
2262.0,0.5127
2263.0,0.5115
2264.0,0.5102
2265.0,0.5088
2266.0,0.5075
2267.0,0.5061
2268.0,0.5047
2269.0,0.5033
2270.0,0.5018
2271.0,0.5004
2272.0,0.4989
2273.0,0.4974
2274.0,0.4959
2275.0,0.4945
2276.0,0.493
2277.0,0.4915
2278.0,0.49
2279.0,0.4885
2280.0,0.487
2281.0,0.4854
2282.0,0.4839
2283.0,0.4825
2284.0,0.481
2285.0,0.4796
2286.0,0.4782
2287.0,0.4768
2288.0,0.4755
2289.0,0.4741
2290.0,0.4728
2291.0,0.4715
2292.0,0.4702
2293.0,0.4689
2294.0,0.4676
2295.0,0.4664
2296.0,0.4651
2297.0,0.4639
2298.0,0.4627
2299.0,0.4615
2300.0,0.4604
2301.0,0.4593
2302.0,0.4582
2303.0,0.4571
2304.0,0.456
2305.0,0.4549
2306.0,0.4538
2307.0,0.4528
2308.0,0.4517
2309.0,0.4507
2310.0,0.4497
2311.0,0.4487
2312.0,0.4477
2313.0,0.4466
2314.0,0.4455
2315.0,0.4445
2316.0,0.4434
2317.0,0.4423
2318.0,0.4411
2319.0,0.44
2320.0,0.4388
2321.0,0.4377
2322.0,0.4367
2323.0,0.4357
2324.0,0.4347
2325.0,0.4339
2326.0,0.433
2327.0,0.4322
2328.0,0.4315
2329.0,0.4308
2330.0,0.4302
2331.0,0.4296
2332.0,0.4291
2333.0,0.4286
2334.0,0.4283
2335.0,0.428
2336.0,0.4277
2337.0,0.4276
2338.0,0.4275
2339.0,0.4275
2340.0,0.4276
2341.0,0.4278
2342.0,0.4281
2343.0,0.4284
2344.0,0.4288
2345.0,0.4294
2346.0,0.43
2347.0,0.4307
2348.0,0.4315
2349.0,0.4324
2350.0,0.4333
2351.0,0.4344
2352.0,0.4355
2353.0,0.4367
2354.0,0.438
2355.0,0.4392
2356.0,0.4405
2357.0,0.4418
2358.0,0.443
2359.0,0.4441
2360.0,0.4453
2361.0,0.4463
2362.0,0.4473
2363.0,0.4483
2364.0,0.4492
2365.0,0.45
2366.0,0.4507
2367.0,0.4514
2368.0,0.452
2369.0,0.4525
2370.0,0.4529
2371.0,0.4533
2372.0,0.4536
2373.0,0.454
2374.0,0.4542
2375.0,0.4544
2376.0,0.4545
2377.0,0.4544
2378.0,0.4542
2379.0,0.4541
2380.0,0.4539
2381.0,0.4536
2382.0,0.4532
2383.0,0.4529
2384.0,0.4525
2385.0,0.4521
2386.0,0.4517
2387.0,0.4513
2388.0,0.4509
2389.0,0.4505
2390.0,0.45
2391.0,0.4495
2392.0,0.449
2393.0,0.4485
2394.0,0.448
2395.0,0.4474
2396.0,0.4468
2397.0,0.4462
2398.0,0.4457
2399.0,0.445
2400.0,0.4444
2401.0,0.4437
2402.0,0.4429
2403.0,0.4421
2404.0,0.4413
2405.0,0.4404
2406.0,0.4394
2407.0,0.4384
2408.0,0.4375
2409.0,0.4366
2410.0,0.4356
2411.0,0.4347
2412.0,0.4337
2413.0,0.4325
2414.0,0.4315
2415.0,0.4302
2416.0,0.4287
2417.0,0.4272
2418.0,0.4256
2419.0,0.424
2420.0,0.4225
2421.0,0.4212
2422.0,0.4197
2423.0,0.4184
2424.0,0.4173
2425.0,0.4163
2426.0,0.4153
2427.0,0.4143
2428.0,0.4133
2429.0,0.4122
2430.0,0.411
2431.0,0.4099
2432.0,0.4085
2433.0,0.4069
2434.0,0.4053
2435.0,0.4033
2436.0,0.4014
2437.0,0.3999
2438.0,0.3984
2439.0,0.3971
2440.0,0.3959
2441.0,0.3946
2442.0,0.3934
2443.0,0.3924
2444.0,0.3912
2445.0,0.3903
2446.0,0.3887
2447.0,0.3868
2448.0,0.3846
2449.0,0.3821
2450.0,nan
2451.0,nan
2452.0,nan
2453.0,nan
2454.0,nan
2455.0,nan
2456.0,nan
2457.0,nan
2458.0,nan
2459.0,nan
2460.0,nan
2461.0,nan
2462.0,nan
2463.0,nan
2464.0,nan
2465.0,nan
2466.0,nan
2467.0,nan
2468.0,nan
2469.0,nan
2470.0,nan
2471.0,nan
2472.0,nan
2473.0,nan
2474.0,nan
2475.0,nan
2476.0,nan
2477.0,nan
2478.0,nan
2479.0,nan
2480.0,nan
2481.0,nan
2482.0,nan
2483.0,nan
2484.0,nan
2485.0,nan
2486.0,nan
2487.0,nan
2488.0,nan
2489.0,nan
2490.0,nan
2491.0,nan
2492.0,nan
2493.0,nan
2494.0,nan
2495.0,nan
2496.0,nan
2497.0,nan
2498.0,nan
2499.0,nan
2500.0,nan
