University of Adelaide	
1970	0.967965456
1971	0.967924344
1972	0.967841738
1973	0.967756322
1974	0.967703589
1975	0.967669928
1976	0.967574657
1977	0.967451808
1978	0.96736758
1979	0.967241978
1980	0.967128386
1981	0.967056837
1982	0.966946259
1983	0.966799919
1984	0.966682227
1985	0.966622272
1986	0.966517617
1987	0.966394086
1988	0.966279601
1989	0.966154525
1990	0.965974235
1991	0.965835188
1992	0.965681001
1993	0.965534974
1994	0.96534524
1995	0.965164064
1996	0.964999292
1997	0.964851785
1998	0.964716387
1999	0.964484467
2000	0.964262217
2001	0.964058349
2002	0.963869726
2003	0.963719758
2004	0.963544391
2005	0.963296529
2006	0.96305784
2007	0.962837665
2008	0.962554964
2009	0.962376243
2010	0.962195319
2011	0.961961219
2012	0.961674361
2013	0.961438038
2014	0.961195175
2015	0.960944126
2016	0.960689486
2017	0.960452395
2018	0.960185451
2019	0.959916429
2020	0.959693195
2021	0.95944356
2022	0.959235859
2023	0.958991232
2024	0.958726946
2025	0.958464539
2026	0.958237165
2027	0.957965907
2028	0.957672371
2029	0.957386626
2030	0.957151158
2031	0.956944244
2032	0.956710857
2033	0.956549487
2034	0.956301962
2035	0.956022373
2036	0.955780028
2037	0.955567838
2038	0.955368494
2039	0.955118401
2040	0.954868887
2041	0.95460051
2042	0.954335443
2043	0.954146963
2044	0.953948484
2045	0.95375599
2046	0.953531733
2047	0.953326333
2048	0.953102499
2049	0.952881805
2050	0.952679544
2051	0.952518572
2052	0.952316511
2053	0.95214237
2054	0.951951611
2055	0.951747659
2056	0.951566184
2057	0.951368467
2058	0.951184051
2059	0.951019567
2060	0.950848281
2061	0.950634955
2062	0.950471582
2063	0.950327197
2064	0.950163887
2065	0.949953428
2066	0.949840975
2067	0.949663775
2068	0.949432916
2069	0.949276381
2070	0.949161914
2071	0.949012398
2072	0.94886245
2073	0.948652758
2074	0.948473402
2075	0.948290208
2076	0.948075829
2077	0.947913617
2078	0.947827879
2079	0.947651122
2080	0.947467569
2081	0.947305322
2082	0.947120892
2083	0.946930271
2084	0.94678255
2085	0.946656481
2086	0.946510849
2087	0.946345114
2088	0.946181214
2089	0.945929021
2090	0.945747398
2091	0.945557645
2092	0.945384809
2093	0.945185616
2094	0.945008458
2095	0.944853476
2096	0.944633176
2097	0.944484814
2098	0.944352329
2099	0.944166588
2100	0.944021175
2101	0.943841332
2102	0.943591417
2103	0.943365468
2104	0.943152127
2105	0.942940428
2106	0.942776291
2107	0.94256832
2108	0.94237632
2109	0.942168424
2110	0.941954012
2111	0.941772294
2112	0.941601294
2113	0.941455502
2114	0.941283839
2115	0.941078874
2116	0.940880828
2117	0.940683606
2118	0.940498898
2119	0.94033293
2120	0.940202481
2121	0.940048004
2122	0.939848891
2123	0.939636447
2124	0.939452028
2125	0.939230409
2126	0.939057931
2127	0.938918809
2128	0.938759551
2129	0.93867618
2130	0.938594596
2131	0.938469811
2132	0.938325242
2133	0.938287374
2134	0.938235147
2135	0.938223842
2136	0.938242327
2137	0.938207133
2138	0.93813373
2139	0.938117744
2140	0.938100357
2141	0.93809738
2142	0.938111126
2143	0.938128177
2144	0.938229189
2145	0.938325327
2146	0.938420215
2147	0.938578747
2148	0.93869815
2149	0.938789101
2150	0.938923161
2151	0.939092386
2152	0.939333337
2153	0.93957744
2154	0.93982724
2155	0.940056717
2156	0.940364027
2157	0.940598601
2158	0.940902907
2159	0.941301522
2160	0.941631416
2161	0.941949992
2162	0.942295486
2163	0.942666163
2164	0.943021657
2165	0.943407337
2166	0.943774179
2167	0.944103434
2168	0.944467903
2169	0.944825938
2170	0.945168193
2171	0.945561317
2172	0.945966587
2173	0.94639257
2174	0.946792423
2175	0.947210147
2176	0.947600666
2177	0.947964951
2178	0.948347779
2179	0.948759335
2180	0.949134815
2181	0.949524608
2182	0.949848342
2183	0.950205936
2184	0.950614488
2185	0.950974194
2186	0.951364989
2187	0.951726746
2188	0.952047249
2189	0.952363037
2190	0.952732482
2191	0.953146104
2192	0.953460592
2193	0.95383673
2194	0.95413112
2195	0.95435784
2196	0.954646463
2197	0.954957908
2198	0.955228918
2199	0.955458054
2200	0.955718009
2201	0.955983232
2202	0.956213906
2203	0.956392127
2204	0.956591626
2205	0.956671746
2206	0.956782845
2207	0.956963436
2208	0.957129911
2209	0.957204471
2210	0.957326514
2211	0.957413848
2212	0.95752267
2213	0.957689467
2214	0.957819602
2215	0.957947795
2216	0.95806245
2217	0.95819141
2218	0.958285319
2219	0.958338245
2220	0.958360535
2221	0.958408253
2222	0.958471285
2223	0.958501146
2224	0.958463604
2225	0.958481818
2226	0.95849539
2227	0.958502263
2228	0.958499367
2229	0.958477677
2230	0.95843366
2231	0.958432411
2232	0.958301032
2233	0.958211674
2234	0.95813886
2235	0.958084099
2236	0.9580449
2237	0.958065788
2238	0.957947514
2239	0.957803477
2240	0.957624001
2241	0.957481822
2242	0.957369125
2243	0.957292308
2244	0.957193986
2245	0.957072453
2246	0.957017699
2247	0.956929775
2248	0.956781553
2249	0.956669601
2250	0.956517595
2251	0.956380361
2252	0.956280637
2253	0.956237255
2254	0.956141266
2255	0.956047861
2256	0.955935708
2257	0.955806632
2258	0.9556915
2259	0.955491935
2260	0.955359224
2261	0.955268239
2262	0.955122015
2263	0.955098451
2264	0.954964126
2265	0.954792253
2266	0.954663954
2267	0.954602746
2268	0.954463435
2269	0.954340903
2270	0.954196295
2271	0.954025864
2272	0.953870038
2273	0.953732393
2274	0.953615456
2275	0.953471712
2276	0.953291063
2277	0.953226139
2278	0.953093696
2279	0.952970978
2280	0.95281938
2281	0.952663972
2282	0.952549307
2283	0.952405566
2284	0.952254924
2285	0.952108464
2286	0.951878157
2287	0.951646474
2288	0.951531027
2289	0.951361744
2290	0.951169052
2291	0.951018353
2292	0.950888106
2293	0.950716176
2294	0.950544019
2295	0.950303654
2296	0.950115258
2297	0.949984459
2298	0.949794297
2299	0.949689757
2300	0.949524751
2301	0.949293811
2302	0.949092907
2303	0.948921033
2304	0.948708916
2305	0.948505365
2306	0.948286615
2307	0.948141399
2308	0.947978609
2309	0.947801806
2310	0.947524972
2311	0.947277722
2312	0.947027133
2313	0.946836696
2314	0.946602067
2315	0.946392953
2316	0.946247586
2317	0.945996509
2318	0.945767766
2319	0.945584018
2320	0.945296845
2321	0.945044207
2322	0.944806076
2323	0.944446327
2324	0.944234019
2325	0.944046295
2326	0.943881933
2327	0.943787406
2328	0.943576534
2329	0.9433396
2330	0.943082263
2331	0.942753819
2332	0.942479227
2333	0.942212988
2334	0.941956962
2335	0.941816337
2336	0.94163599
2337	0.941455425
2338	0.941264831
2339	0.941046804
2340	0.94085789
2341	0.940603607
2342	0.940386806
2343	0.94018466
2344	0.939985262
2345	0.939795389
2346	0.939746895
2347	0.939705272
2348	0.939525476
2349	0.939351308
2350	0.939258899
2351	0.939057673
2352	0.938916702
2353	0.938822448
2354	0.938686018
2355	0.938479741
2356	0.938373751
2357	0.938276063
2358	0.938159894
2359	0.938004154
2360	0.937918462
2361	0.937819101
2362	0.937738038
2363	0.937552694
2364	0.937511247
2365	0.937429706
2366	0.937308113
2367	0.937212931
2368	0.937239131
2369	0.937127353
2370	0.936993296
2371	0.936865051
2372	0.936840351
2373	0.936785113
2374	0.936661929
2375	0.936606782
2376	0.93659587
2377	0.936465274
2378	0.936448484
2379	0.936443079
2380	0.936404117
2381	0.936417134
2382	0.936331297
2383	0.936186008
2384	0.936062843
2385	0.935979725
2386	0.935987642
2387	0.935915923
2388	0.935839399
2389	0.935727677
2390	0.93570417
2391	0.935641864
2392	0.935569387
2393	0.935437275
2394	0.935347498
2395	0.935332256
2396	0.935265145
2397	0.935397251
2398	0.935540077
2399	0.935557053
2400	0.93550662
2401	0.935406902
2402	0.935174691
2403	0.935128381
2404	0.935060828
2405	0.934908098
2406	0.93496478
2407	0.934878042
2408	0.934870023
2409	0.934864429
2410	0.934665108
2411	0.934582178
2412	0.93448576
2413	0.934232629
2414	0.934291314
2415	0.934311474
2416	0.934187671
2417	0.93421734
2418	0.934001259
2419	0.933911313
2420	0.934138327
2421	0.934226384
2422	0.934368159
2423	0.934346557
2424	0.934260849
2425	0.93433826
2426	0.934110106
2427	0.934184353
2428	0.934167043
2429	0.934001651
2430	0.933813947
2431	0.933920364
2432	0.933769672
2433	0.933661848
2434	0.93367063
2435	0.933614552
2436	0.933358934
2437	0.933585159
2438	0.933641243
2439	0.933706984
2440	0.933677532
2441	0.933761783
2442	0.933640043
2443	0.933637813
2444	0.933688448
2445	0.933685456
2446	0.93350867
2447	0.933502394
2448	0.933674959
2449	0.933738581
2450	0.933905065
2451	0.934064609
2452	0.934036037
2453	0.933957691
2454	0.934006536
2455	0.934217624
2456	0.934162255
2457	0.934266339
2458	0.934109
2459	0.934262077
2460	0.93395515
2461	0.933841089
2462	0.933870435
2463	0.933727581
2464	0.933747478
2465	0.933678775
2466	0.933363715
2467	0.93306847
2468	0.933329015
2469	0.933366088
2470	0.933574297
2471	0.933714979
2472	0.933531236
2473	0.933490565
2474	0.933228196
2475	0.933110937
2476	0.933212285
2477	0.933229044
2478	0.933099907
2479	0.933301022
2480	0.933574537
2481	0.933363327
2482	0.933361321
2483	0.933042258
2484	0.932469603
2485	0.932716828
2486	0.932946734
2487	0.933087455
2488	0.933087121
2489	0.933532203
2490	0.933561367
2491	0.933666548
2492	0.933822482
2493	0.933951443
2494	0.933726911
2495	0.933527612
2496	0.933194343
2497	0.933340343
2498	0.933671887
2499	0.933494164
2500	0.934521724

