University of Wollongong	
Serial Number : 10" panel new 2017	
Comments : Lab Cal CSIRO March 2018 	

	
Wavelength K-factor
1164	1.012347655
1165	1.012322542
1166	1.012296938
1167	1.012270887
1168	1.012244434
1169	1.012217621
1170	1.012190492
1171	1.012163091
1172	1.012135461
1173	1.012107645
1174	1.012079688
1175	1.012051633
1176	1.012023522
1177	1.011995401
1178	1.011967312
1179	1.011939299
1180	1.011911406
1181	1.011883675
1182	1.011856151
1183	1.011828877
1184	1.011801897
1185	1.011775254
1186	1.011748992
1187	1.011723153
1188	1.011697783
1189	1.011672924
1190	1.01164862
1191	1.011624914
1192	1.01160185
1193	1.011579471
1194	1.011557822
1195	1.011536945
1196	1.011516884
1197	1.011497683
1198	1.011479385
1199	1.011462034
1200	1.011445673
1201	1.011430332
1202	1.01141599
1203	1.011402612
1204	1.011390161
1205	1.011378603
1206	1.011367902
1207	1.011358023
1208	1.011348931
1209	1.01134059
1210	1.011332965
1211	1.011326021
1212	1.011319723
1213	1.011314035
1214	1.011308922
1215	1.011304349
1216	1.01130028
1217	1.01129668
1218	1.011293514
1219	1.011290746
1220	1.011288342
1221	1.011286265
1222	1.011284481
1223	1.011282954
1224	1.01128165
1225	1.011280532
1226	1.011279565
1227	1.011278715
1228	1.011277945
1229	1.011277221
1230	1.011276507
1231	1.011275769
1232	1.011274969
1233	1.011274075
1234	1.011273049
1235	1.011271857
1236	1.011270463
1237	1.011268833
1238	1.01126693
1239	1.01126472
1240	1.011262168
1241	1.011259237
1242	1.011255893
1243	1.011252101
1244	1.011247824
1245	1.011243029
1246	1.011237679
1247	1.011231739
1248	1.011225174
1249	1.011217949
1250	1.011210028
1251	1.011201385
1252	1.011192031
1253	1.011181984
1254	1.011171263
1255	1.011159888
1256	1.011147879
1257	1.011135253
1258	1.01112203
1259	1.01110823
1260	1.011093872
1261	1.011078975
1262	1.011063557
1263	1.011047639
1264	1.011031239
1265	1.011014376
1266	1.01099707
1267	1.010979341
1268	1.010961206
1269	1.010942685
1270	1.010923798
1271	1.010904563
1272	1.010885
1273	1.010865128
1274	1.010844967
1275	1.010824534
1276	1.01080385
1277	1.010782933
1278	1.010761804
1279	1.01074048
1280	1.010718982
